VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,election_zone,winner_name,winner_party,winner_votes,recall_agree_votes,recall_disagree_votes,compared_with,gap,recall_valid_votes,recall_eligible_voters,eligible_voters_election
66000060021,臺中市,西屯區,何仁里,臺中市第04選區,張廖萬堅,民主進步黨,2129,1564,1777,recall_agree_votes,565,3341,5911,5910
66000040015,臺中市,西區,昇平里,臺中市第06選區,江肇國,民主進步黨,2024,1459,1577,recall_agree_votes,565,3036,5414,5430
66000070023,臺中市,南屯區,寶山里,臺中市第04選區,張廖萬堅,民主進步黨,1849,1289,1544,recall_agree_votes,560,2833,5092,5111
68000020051,桃園市,中壢區,內厝里,桃園市第03選區,彭俊豪,民主進步黨,1860,1301,1322,recall_agree_votes,559,2623,4640,4669
68000020074,桃園市,中壢區,永福里,桃園市第03選區,彭俊豪,民主進步黨,1882,1329,1781,recall_agree_votes,553,3110,5290,5293
65000280001,新北市,萬里區,萬里里,新北市第12選區,賴品妤,民主進步黨,1468,916,1026,recall_agree_votes,552,1942,3934,4080
68000110004,桃園市,新屋區,清華里,桃園市第02選區,黃世杰,民主進步黨,1460,911,1388,recall_agree_votes,549,2299,4034,3969
68000020055,桃園市,中壢區,永光里,桃園市第03選區,彭俊豪,民主進步黨,1779,1232,1646,recall_agree_votes,547,2878,5388,5332
68000020049,桃園市,中壢區,山東里,桃園市第03選區,彭俊豪,民主進步黨,1674,1134,954,recall_agree_votes,540,2088,3836,3716
68000060019,桃園市,大園區,南港里,桃園市第02選區,黃世杰,民主進步黨,2106,1567,2153,recall_agree_votes,539,3720,7872,6476
66000040017,臺中市,西區,公正里,臺中市第06選區,江肇國,民主進步黨,2223,1688,1904,recall_agree_votes,535,3592,6050,6150
63000030004,臺北市,大安區,民炤里,臺北市第06選區,苗博雅,社會民主黨,2223,1689,1863,recall_agree_votes,534,3552,6258,6415
68000020062,桃園市,中壢區,明德里,桃園市第03選區,彭俊豪,民主進步黨,1579,1053,1547,recall_agree_votes,526,2600,4468,4475
66000060020,臺中市,西屯區,協和里,臺中市第04選區,張廖萬堅,民主進步黨,1677,1153,1318,recall_agree_votes,524,2471,4430,4474
68000020066,桃園市,中壢區,正義里,桃園市第03選區,彭俊豪,民主進步黨,1427,914,1389,recall_agree_votes,513,2303,4043,4114
68000110005,桃園市,新屋區,頭洲里,桃園市第02選區,黃世杰,民主進步黨,1676,1175,1533,recall_agree_votes,501,2708,4761,4447
66000060015,臺中市,西屯區,港尾里,臺中市第04選區,張廖萬堅,民主進步黨,1797,1297,1593,recall_agree_votes,500,2890,5025,4863
68000060005,桃園市,大園區,橫峰里,桃園市第02選區,黃世杰,民主進步黨,1514,1018,1124,recall_agree_votes,496,2142,3978,4076
66000070003,臺中市,南屯區,楓樹里,臺中市第04選區,張廖萬堅,民主進步黨,2285,1790,2008,recall_agree_votes,495,3798,6067,5916
66000070009,臺中市,南屯區,永定里,臺中市第04選區,張廖萬堅,民主進步黨,2013,1519,1612,recall_agree_votes,494,3131,5355,5093
66000070012,臺中市,南屯區,田心里,臺中市第04選區,張廖萬堅,民主進步黨,2335,1843,2038,recall_agree_votes,492,3881,6743,6331
68000060003,桃園市,大園區,溪海里,桃園市第02選區,黃世杰,民主進步黨,1610,1119,1240,recall_agree_votes,491,2359,4738,4441
63000030031,臺北市,大安區,通化里,臺北市第06選區,苗博雅,社會民主黨,1779,1288,1421,recall_agree_votes,491,2709,4704,4953
10009060016,雲林縣,北港鎮,新街里,雲林縣第01選區,蘇治芬,民主進步黨,2063,1573,1843,recall_agree_votes,490,3416,6353,6140
63000100023,臺北市,內湖區,東湖里,臺北市第04選區,高嘉瑜,民主進步黨,2187,1700,2093,recall_agree_votes,487,3793,6392,6538
66000040019,臺中市,西區,忠誠里,臺中市第06選區,江肇國,民主進步黨,1969,1490,1577,recall_agree_votes,479,3067,5326,5371
68000080003,桃園市,八德區,瑞豐里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,1521,1047,1803,recall_agree_votes,474,2850,5679,5237
66000040009,臺中市,西區,公舘里,臺中市第06選區,江肇國,民主進步黨,1949,1476,1623,recall_agree_votes,473,3099,5355,5391
68000020033,桃園市,中壢區,復興里,桃園市第03選區,彭俊豪,民主進步黨,1230,767,1144,recall_agree_votes,463,1911,3769,3702
68000120015,桃園市,觀音區,富源里,桃園市第02選區,黃世杰,民主進步黨,1367,908,1293,recall_agree_votes,459,2201,4109,3954
63000100024,臺北市,內湖區,樂康里,臺北市第04選區,高嘉瑜,民主進步黨,2026,1567,1932,recall_agree_votes,459,3499,6060,6229
66000040016,臺中市,西區,忠明里,臺中市第06選區,江肇國,民主進步黨,2026,1567,1584,recall_agree_votes,459,3151,5624,5548
66000040018,臺中市,西區,土庫里,臺中市第06選區,江肇國,民主進步黨,2048,1593,1574,recall_agree_votes,455,3167,5328,5421
68000020022,桃園市,中壢區,洽溪里,桃園市第03選區,彭俊豪,民主進步黨,1884,1432,1593,recall_agree_votes,452,3025,5751,5115
68000020064,桃園市,中壢區,五福里,桃園市第03選區,彭俊豪,民主進步黨,1306,861,1007,recall_agree_votes,445,1868,3378,3455
68000020046,桃園市,中壢區,芝芭里,桃園市第03選區,彭俊豪,民主進步黨,1905,1461,1457,recall_agree_votes,444,2918,5521,4814
68000020088,桃園市,中壢區,興福里,桃園市第03選區,彭俊豪,民主進步黨,1305,862,1226,recall_agree_votes,443,2088,3624,3706
63000040025,臺北市,中山區,行仁里,臺北市第03選區,謝佩芬,民主進步黨,2412,1979,1813,recall_agree_votes,433,3792,6269,6440
63000020025,臺北市,信義區,中行里,臺北市第07選區,許淑華,民主進步黨,2315,1883,1882,recall_agree_votes,432,3765,6147,6339
66000070015,臺中市,南屯區,大同里,臺中市第04選區,張廖萬堅,民主進步黨,1770,1339,1482,recall_agree_votes,431,2821,4777,4793
68000120012,桃園市,觀音區,大同里,桃園市第02選區,黃世杰,民主進步黨,1238,814,746,recall_agree_votes,424,1560,2945,2963
66000070004,臺中市,南屯區,中和里,臺中市第04選區,張廖萬堅,民主進步黨,1584,1161,1266,recall_agree_votes,423,2427,3958,4064
68000020036,桃園市,中壢區,忠福里,桃園市第03選區,彭俊豪,民主進步黨,1338,917,1425,recall_agree_votes,421,2342,4062,3966
68000020070,桃園市,中壢區,仁義里,桃園市第03選區,彭俊豪,民主進步黨,1261,847,1163,recall_agree_votes,414,2010,3761,3717
66000060009,臺中市,西屯區,何安里,臺中市第04選區,張廖萬堅,民主進步黨,1726,1316,1499,recall_agree_votes,410,2815,5042,4927
66000040007,臺中市,西區,公民里,臺中市第06選區,江肇國,民主進步黨,1741,1332,1435,recall_agree_votes,409,2767,4663,4670
68000120021,桃園市,觀音區,草漯里,桃園市第02選區,黃世杰,民主進步黨,1290,883,1030,recall_agree_votes,407,1913,4223,3657
68000120017,桃園市,觀音區,新坡里,桃園市第02選區,黃世杰,民主進步黨,1169,762,775,recall_agree_votes,407,1537,2954,2900
66000060022,臺中市,西屯區,何德里,臺中市第04選區,張廖萬堅,民主進步黨,1329,926,1139,recall_agree_votes,403,2065,3544,3558
66000060011,臺中市,西屯區,大河里,臺中市第04選區,張廖萬堅,民主進步黨,1610,1207,1157,recall_agree_votes,403,2364,3864,3745
66000060017,臺中市,西屯區,林厝里,臺中市第04選區,張廖萬堅,民主進步黨,1225,824,1077,recall_agree_votes,401,1901,3292,3371
66000060032,臺中市,西屯區,何福里,臺中市第04選區,張廖萬堅,民主進步黨,1516,1115,1318,recall_agree_votes,401,2433,4090,4167
68000120022,桃園市,觀音區,樹林里,桃園市第02選區,黃世杰,民主進步黨,1272,873,1237,recall_agree_votes,399,2110,5083,4748
68000110001,桃園市,新屋區,新屋里,桃園市第02選區,黃世杰,民主進步黨,1022,623,892,recall_agree_votes,399,1515,2804,2776
68000020032,桃園市,中壢區,青埔里,桃園市第03選區,彭俊豪,民主進步黨,3238,2841,3428,recall_agree_votes,397,6269,12385,8941
68000020048,桃園市,中壢區,三民里,桃園市第03選區,彭俊豪,民主進步黨,1257,860,974,recall_agree_votes,397,1834,3192,3221
68000120011,桃園市,觀音區,藍埔里,桃園市第02選區,黃世杰,民主進步黨,1089,694,712,recall_agree_votes,395,1406,2525,2545
68000020031,桃園市,中壢區,水尾里,桃園市第03選區,彭俊豪,民主進步黨,1279,886,1160,recall_agree_votes,393,2046,3517,3596
65000010090,新北市,板橋區,華中里,新北市第07選區,羅致政,民主進步黨,1652,1260,1005,recall_agree_votes,392,2265,4257,4358
65000280003,新北市,萬里區,野柳里,新北市第12選區,賴品妤,民主進步黨,1056,666,691,recall_agree_votes,390,1357,2981,3058
68000110016,桃園市,新屋區,永安里,桃園市第02選區,黃世杰,民主進步黨,947,558,659,recall_agree_votes,389,1217,2081,2114
68000020024,桃園市,中壢區,新明里,桃園市第03選區,彭俊豪,民主進步黨,1273,887,1077,recall_agree_votes,386,1964,3564,3591
10017030010,基隆市,暖暖區,暖西里,基隆市第01選區,王醒之,無黨籍及未經政黨推薦,1442,1058,1454,recall_agree_votes,384,2512,4600,4661
66000040008,臺中市,西區,藍興里,臺中市第06選區,江肇國,民主進步黨,1471,1090,1263,recall_agree_votes,381,2353,3827,3836
68000060018,桃園市,大園區,北港里,桃園市第02選區,黃世杰,民主進步黨,1076,699,712,recall_agree_votes,377,1411,2889,2926
65000120012,新北市,瑞芳區,吉安里,新北市第12選區,賴品妤,民主進步黨,890,514,790,recall_agree_votes,376,1304,2707,2715
68000120018,桃園市,觀音區,廣福里,桃園市第02選區,黃世杰,民主進步黨,1080,705,697,recall_agree_votes,375,1402,2615,2589
68000100028,桃園市,平鎮區,義興里,桃園市第05選區,劉仁照,民主進步黨,1952,1577,2183,recall_agree_votes,375,3760,6540,6619
68000010010,桃園市,桃園區,汴洲里,桃園市第01選區,鄭運鵬,民主進步黨,2270,1898,2113,recall_agree_votes,372,4011,7434,7027
68000110012,桃園市,新屋區,下田里,桃園市第02選區,黃世杰,民主進步黨,743,373,493,recall_agree_votes,370,866,1646,1651
66000060016,臺中市,西屯區,廣福里,臺中市第04選區,張廖萬堅,民主進步黨,1007,639,605,recall_agree_votes,368,1244,2087,2167
68000120010,桃園市,觀音區,金湖里,桃園市第02選區,黃世杰,民主進步黨,950,582,701,recall_agree_votes,368,1283,2611,2561
10009060014,雲林縣,北港鎮,華勝里,雲林縣第01選區,蘇治芬,民主進步黨,1604,1237,1271,recall_agree_votes,367,2508,4503,4548
68000110006,桃園市,新屋區,埔頂里,桃園市第02選區,黃世杰,民主進步黨,941,577,830,recall_agree_votes,364,1407,2429,2458
10009130004,雲林縣,麥寮鄉,興華村,雲林縣第01選區,蘇治芬,民主進步黨,881,517,768,recall_agree_votes,364,1285,3026,2958
63000030002,臺北市,大安區,仁慈里,臺北市第06選區,苗博雅,社會民主黨,1553,1189,1207,recall_agree_votes,364,2396,4087,4199
63000010018,臺北市,松山區,慈祐里,臺北市第07選區,許淑華,民主進步黨,2235,1871,1733,recall_agree_votes,364,3604,6956,6956
63000040021,臺北市,中山區,松江里,臺北市第03選區,謝佩芬,民主進步黨,1889,1527,1455,recall_agree_votes,362,2982,5007,5111
68000050006,桃園市,蘆竹區,蘆竹里,桃園市第01選區,鄭運鵬,民主進步黨,1566,1205,934,recall_agree_votes,361,2139,3675,3779
68000050012,桃園市,蘆竹區,山腳里,桃園市第01選區,鄭運鵬,民主進步黨,1367,1006,785,recall_agree_votes,361,1791,3299,3390
68000050003,桃園市,蘆竹區,新莊里,桃園市第01選區,鄭運鵬,民主進步黨,1809,1451,1420,recall_agree_votes,358,2871,4982,4968
63000030012,臺北市,大安區,龍泉里,臺北市第06選區,苗博雅,社會民主黨,1384,1028,1167,recall_agree_votes,356,2195,3816,3885
68000020054,桃園市,中壢區,興和里,桃園市第03選區,彭俊豪,民主進步黨,1086,737,857,recall_agree_votes,349,1594,2566,2627
63000100006,臺北市,內湖區,港都里,臺北市第04選區,高嘉瑜,民主進步黨,1468,1119,1330,recall_agree_votes,349,2449,4062,4345
68000110007,桃園市,新屋區,九斗里,桃園市第02選區,黃世杰,民主進步黨,895,551,647,recall_agree_votes,344,1198,2197,2182
63000090008,臺北市,南港區,西新里,臺北市第04選區,高嘉瑜,民主進步黨,1363,1020,980,recall_agree_votes,343,2000,3548,3699
68000030004,桃園市,大溪區,一德里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,1709,1367,1164,recall_agree_votes,342,2531,5004,5037
63000040027,臺北市,中山區,下埤里,臺北市第03選區,謝佩芬,民主進步黨,2290,1951,1839,recall_agree_votes,339,3790,6073,6223
66000070020,臺中市,南屯區,大興里,臺中市第04選區,張廖萬堅,民主進步黨,1574,1235,1324,recall_agree_votes,339,2559,4212,4278
68000080014,桃園市,八德區,大湳里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,1226,892,1044,recall_agree_votes,334,1936,3805,3776
65000010096,新北市,板橋區,聚安里,新北市第07選區,羅致政,民主進步黨,1552,1221,1081,recall_agree_votes,331,2302,4256,4367
63000100030,臺北市,內湖區,湖元里,臺北市第04選區,高嘉瑜,民主進步黨,1708,1377,1652,recall_agree_votes,331,3029,5316,5279
65000030059,新北市,中和區,文元里,新北市第08選區,吳崢,民主進步黨,1451,1127,1215,recall_agree_votes,324,2342,4204,4326
63000040008,臺北市,中山區,集英里,臺北市第03選區,謝佩芬,民主進步黨,2120,1803,1450,recall_agree_votes,317,3253,5818,5680
63000040022,臺北市,中山區,新生里,臺北市第03選區,謝佩芬,民主進步黨,1433,1116,1055,recall_agree_votes,317,2171,3633,3813
68000110010,桃園市,新屋區,石磊里,桃園市第02選區,黃世杰,民主進步黨,869,552,661,recall_agree_votes,317,1213,2296,2251
68000080015,桃園市,八德區,大安里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,1139,823,879,recall_agree_votes,316,1702,3306,3330
68000050002,桃園市,蘆竹區,中福里,桃園市第01選區,鄭運鵬,民主進步黨,1545,1231,927,recall_agree_votes,314,2158,3802,3955
66000040012,臺中市,西區,後龍里,臺中市第06選區,江肇國,民主進步黨,1238,926,961,recall_agree_votes,312,1887,3301,3243
65000280002,新北市,萬里區,龜吼里,新北市第12選區,賴品妤,民主進步黨,813,502,607,recall_agree_votes,311,1109,2639,2481
68000020021,桃園市,中壢區,東興里,桃園市第03選區,彭俊豪,民主進步黨,1113,802,1102,recall_agree_votes,311,1904,3284,3208
65000280004,新北市,萬里區,大鵬里,新北市第12選區,賴品妤,民主進步黨,850,542,631,recall_agree_votes,308,1173,2512,2553
66000060030,臺中市,西屯區,何明里,臺中市第04選區,張廖萬堅,民主進步黨,1220,915,1056,recall_agree_votes,305,1971,3316,3359
68000060017,桃園市,大園區,內海里,桃園市第02選區,黃世杰,民主進步黨,849,544,608,recall_agree_votes,305,1152,2141,2173
63000020015,臺北市,信義區,長春里,臺北市第07選區,許淑華,民主進步黨,1295,991,1016,recall_agree_votes,304,2007,3335,3463
68000120004,桃園市,觀音區,大潭里,桃園市第02選區,黃世杰,民主進步黨,768,467,639,recall_agree_votes,301,1106,2224,2160
68000100024,桃園市,平鎮區,東勢里,桃園市第05選區,劉仁照,民主進步黨,1563,1265,1438,recall_agree_votes,298,2703,5098,4974
65000010094,新北市,板橋區,大安里,新北市第07選區,羅致政,民主進步黨,1203,906,958,recall_agree_votes,297,1864,3305,3359
68000020015,桃園市,中壢區,中央里,桃園市第03選區,彭俊豪,民主進步黨,1128,832,1148,recall_agree_votes,296,1980,3278,3304
68000120016,桃園市,觀音區,上大里,桃園市第02選區,黃世杰,民主進步黨,919,624,783,recall_agree_votes,295,1407,2589,2468
65000030089,新北市,中和區,嘉慶里,新北市第08選區,吳崢,民主進步黨,1116,821,1015,recall_agree_votes,295,1836,3459,3620
68000050001,桃園市,蘆竹區,新興里,桃園市第01選區,鄭運鵬,民主進步黨,1197,902,693,recall_agree_votes,295,1595,2813,2819
68000060010,桃園市,大園區,三石里,桃園市第02選區,黃世杰,民主進步黨,1101,808,780,recall_agree_votes,293,1588,2641,2707
63000040023,臺北市,中山區,中庄里,臺北市第03選區,謝佩芬,民主進步黨,1569,1277,1173,recall_agree_votes,292,2450,4138,4217
68000110017,桃園市,新屋區,笨港里,桃園市第02選區,黃世杰,民主進步黨,507,215,303,recall_agree_votes,292,518,966,1009
68000120006,桃園市,觀音區,保生里,桃園市第02選區,黃世杰,民主進步黨,779,492,564,recall_agree_votes,287,1056,2025,2117
66000040021,臺中市,西區,中興里,臺中市第06選區,江肇國,民主進步黨,1386,1100,969,recall_agree_votes,286,2069,3384,3426
63000040031,臺北市,中山區,中原里,臺北市第03選區,謝佩芬,民主進步黨,1562,1277,1197,recall_agree_votes,285,2474,4056,4133
10017030008,基隆市,暖暖區,暖暖里,基隆市第01選區,王醒之,無黨籍及未經政黨推薦,841,556,812,recall_agree_votes,285,1368,2419,2483
68000110003,桃園市,新屋區,後湖里,桃園市第02選區,黃世杰,民主進步黨,598,318,479,recall_agree_votes,280,797,1451,1424
63000020014,臺北市,信義區,永吉里,臺北市第07選區,許淑華,民主進步黨,1280,1000,790,recall_agree_votes,280,1790,3023,3146
68000020080,桃園市,中壢區,興平里,桃園市第03選區,彭俊豪,民主進步黨,939,660,715,recall_agree_votes,279,1375,2292,2344
68000050022,桃園市,蘆竹區,上竹里,桃園市第01選區,鄭運鵬,民主進步黨,1166,887,981,recall_agree_votes,279,1868,3367,3394
63000040030,臺北市,中山區,中吉里,臺北市第03選區,謝佩芬,民主進步黨,1742,1464,1123,recall_agree_votes,278,2587,4405,4545
63000040039,臺北市,中山區,力行里,臺北市第03選區,謝佩芬,民主進步黨,1779,1501,1450,recall_agree_votes,278,2951,5015,5164
10009060025,雲林縣,北港鎮,樹腳里,雲林縣第01選區,蘇治芬,民主進步黨,1100,823,657,recall_agree_votes,277,1480,2849,2821
68000080026,桃園市,八德區,大仁里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,1273,996,1175,recall_agree_votes,277,2171,3886,3942
65000010091,新北市,板橋區,僑中里,新北市第07選區,羅致政,民主進步黨,1272,995,969,recall_agree_votes,277,1964,3465,3553
65000010099,新北市,板橋區,溪洲里,新北市第07選區,羅致政,民主進步黨,1592,1316,1292,recall_agree_votes,276,2608,4740,4797
63000020010,臺北市,信義區,六藝里,臺北市第07選區,許淑華,民主進步黨,1097,823,913,recall_agree_votes,274,1736,2878,2959
68000070026,桃園市,龜山區,新嶺里,桃園市第01選區,鄭運鵬,民主進步黨,1080,810,1031,recall_agree_votes,270,1841,3532,3505
68000110022,桃園市,新屋區,大坡里,桃園市第02選區,黃世杰,民主進步黨,570,301,350,recall_agree_votes,269,651,1294,1286
68000020086,桃園市,中壢區,青溪里,桃園市第03選區,彭俊豪,民主進步黨,1178,910,1153,recall_agree_votes,268,2063,3670,3258
68000060020,桃園市,大園區,青峰里,桃園市第02選區,黃世杰,民主進步黨,1338,1070,1398,recall_agree_votes,268,2468,4604,3965
65000030057,新北市,中和區,員山里,新北市第08選區,吳崢,民主進步黨,1643,1375,1669,recall_agree_votes,268,3044,5380,5364
68000030018,桃園市,大溪區,仁愛里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,1341,1075,1457,recall_agree_votes,266,2532,4562,4560
63000040029,臺北市,中山區,江山里,臺北市第03選區,謝佩芬,民主進步黨,2274,2009,1718,recall_agree_votes,265,3727,6007,6108
68000030021,桃園市,大溪區,南興里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,1385,1120,1196,recall_agree_votes,265,2316,4612,4668
65000030060,新北市,中和區,嘉新里,新北市第08選區,吳崢,民主進步黨,1076,813,996,recall_agree_votes,263,1809,3385,3456
10009170001,雲林縣,元長鄉,長南村,雲林縣第01選區,蘇治芬,民主進步黨,984,721,767,recall_agree_votes,263,1488,3063,3101
65000010120,新北市,板橋區,居仁里,新北市第07選區,羅致政,民主進步黨,1220,958,887,recall_agree_votes,262,1845,3269,3300
65000010054,新北市,板橋區,埔墘里,新北市第07選區,羅致政,民主進步黨,1816,1556,1543,recall_agree_votes,260,3099,5349,5400
63000020013,臺北市,信義區,五全里,臺北市第07選區,許淑華,民主進步黨,1545,1285,1205,recall_agree_votes,260,2490,3909,3968
63000040018,臺北市,中山區,新喜里,臺北市第03選區,謝佩芬,民主進步黨,1528,1269,1127,recall_agree_votes,259,2396,4076,4167
65000010089,新北市,板橋區,浮洲里,新北市第07選區,羅致政,民主進步黨,1152,894,697,recall_agree_votes,258,1591,2965,3117
63000040020,臺北市,中山區,新福里,臺北市第03選區,謝佩芬,民主進步黨,1617,1361,1092,recall_agree_votes,256,2453,4134,4102
65000270004,新北市,金山區,磺港里,新北市第12選區,賴品妤,民主進步黨,691,436,285,recall_agree_votes,255,721,1547,1627
65000010112,新北市,板橋區,堂春里,新北市第07選區,羅致政,民主進步黨,1232,978,873,recall_agree_votes,254,1851,3434,3499
66000040020,臺中市,西區,公益里,臺中市第06選區,江肇國,民主進步黨,1020,767,803,recall_agree_votes,253,1570,2572,2612
65000120011,新北市,瑞芳區,吉慶里,新北市第12選區,賴品妤,民主進步黨,535,282,489,recall_agree_votes,253,771,1543,1608
65000280010,新北市,萬里區,北基里,新北市第12選區,賴品妤,民主進步黨,729,477,579,recall_agree_votes,252,1056,2466,2487
65000010097,新北市,板橋區,龍安里,新北市第07選區,羅致政,民主進步黨,906,654,619,recall_agree_votes,252,1273,2267,2324
65000030061,新北市,中和區,民安里,新北市第08選區,吳崢,民主進步黨,1397,1145,1319,recall_agree_votes,252,2464,4411,4404
68000060021,桃園市,大園區,青山里,桃園市第02選區,黃世杰,民主進步黨,1352,1101,1171,recall_agree_votes,251,2272,4019,3503
10017030012,基隆市,暖暖區,碇安里,基隆市第01選區,王醒之,無黨籍及未經政黨推薦,1228,977,1519,recall_agree_votes,251,2496,4715,4719
10009130008,雲林縣,麥寮鄉,三盛村,雲林縣第01選區,蘇治芬,民主進步黨,639,390,512,recall_agree_votes,249,902,2215,2231
68000080011,桃園市,八德區,茄苳里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,815,566,662,recall_agree_votes,249,1228,2368,2376
65000010123,新北市,板橋區,五權里,新北市第07選區,羅致政,民主進步黨,1193,945,1005,recall_agree_votes,248,1950,3397,3433
66000070008,臺中市,南屯區,新生里,臺中市第04選區,張廖萬堅,民主進步黨,1146,899,1083,recall_agree_votes,247,1982,3660,3131
68000020013,桃園市,中壢區,仁愛里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,838,591,969,recall_agree_votes,247,1560,2854,2848
68000100012,桃園市,平鎮區,平鎮里,桃園市第05選區,劉仁照,民主進步黨,1264,1018,1343,recall_agree_votes,246,2361,4282,4292
65000010052,新北市,板橋區,振義里,新北市第07選區,羅致政,民主進步黨,1396,1150,920,recall_agree_votes,246,2070,3517,3570
68000070016,桃園市,龜山區,嶺頂里,桃園市第01選區,鄭運鵬,民主進步黨,1194,949,956,recall_agree_votes,245,1905,3725,3738
65000010068,新北市,板橋區,東丘里,新北市第07選區,羅致政,民主進步黨,1377,1133,955,recall_agree_votes,244,2088,3691,3785
68000070024,桃園市,龜山區,龍華里,桃園市第01選區,鄭運鵬,民主進步黨,1078,834,904,recall_agree_votes,244,1738,3348,3256
68000080013,桃園市,八德區,白鷺里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,944,701,857,recall_agree_votes,243,1558,2797,2841
10009160006,雲林縣,臺西鄉,牛厝村,雲林縣第01選區,蘇治芬,民主進步黨,525,282,411,recall_agree_votes,243,693,1670,1718
65000010051,新北市,板橋區,振興里,新北市第07選區,羅致政,民主進步黨,1360,1118,1046,recall_agree_votes,242,2164,3665,3763
68000080036,桃園市,八德區,大千里,桃園市第06選區,趙正宇,無黨籍及未經政黨推薦,651,409,773,recall_agree_votes,242,1182,2094,2108
66000020003,臺中市,東區,東橋里,臺中市第06選區,江肇國,民主進步黨,1331,1090,933,recall_agree_votes,241,2023,3499,3576
65000010083,新北市,板橋區,廣福里,新北市第07選區,羅致政,民主進步黨,1120,879,835,recall_agree_votes,241,1714,3235,3314
65000010059,新北市,板橋區,玉光里,新北市第07選區,羅致政,民主進步黨,1493,1253,1243,recall_agree_votes,240,2496,4607,4508
63000020016,臺北市,信義區,四育里,臺北市第07選區,許淑華,民主進步黨,1723,1484,1349,recall_agree_votes,239,2833,4410,4482
