VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,election_zone,winner_name,winner_party,winner_votes,recall_agree_votes,recall_disagree_votes,compared_with,gap,recall_valid_votes,recall_eligible_voters,eligible_voters_election
66000070007,臺中市,南屯區,文山里,臺中市第04選區,張廖萬堅,民主進步黨,3981,2854,3472,recall_agree_votes,1127,6326,11500,11125
68000020027,桃園市,中壢區,內定里,桃園市第03選區,彭俊豪,民主進步黨,2769,1738,1936,recall_agree_votes,1031,3674,6612,6762
68000020043,桃園市,中壢區,過嶺里,桃園市第03選區,彭俊豪,民主進步黨,3131,2126,2896,recall_agree_votes,1005,5022,9484,8426
66000070002,臺中市,南屯區,豐樂里,臺中市第04選區,張廖萬堅,民主進步黨,4168,3212,3593,recall_agree_votes,956,6805,11609,11275
68000060002,桃園市,大園區,田心里,桃園市第02選區,黃世杰,民主進步黨,2644,1749,2018,recall_agree_votes,895,3767,7134,7060
68000020044,桃園市,中壢區,五權里,桃園市第03選區,彭俊豪,民主進步黨,2269,1476,2028,recall_agree_votes,793,3504,6114,6154
68000020047,桃園市,中壢區,月眉里,桃園市第03選區,彭俊豪,民主進步黨,2500,1745,1464,recall_agree_votes,755,3209,5863,5704
66000060002,臺中市,西屯區,西墩里,臺中市第04選區,張廖萬堅,民主進步黨,2347,1615,1831,recall_agree_votes,732,3446,6168,6009
68000120024,桃園市,觀音區,草新里,桃園市第02選區,黃世杰,民主進步黨,2095,1367,1826,recall_agree_votes,728,3193,6329,5931
66000070001,臺中市,南屯區,南屯里,臺中市第04選區,張廖萬堅,民主進步黨,2963,2254,2613,recall_agree_votes,709,4867,8266,8245
68000060011,桃園市,大園區,菓林里,桃園市第02選區,黃世杰,民主進步黨,2264,1562,1804,recall_agree_votes,702,3366,6306,6368
68000060001,桃園市,大園區,大園里,桃園市第02選區,黃世杰,民主進步黨,2203,1517,1687,recall_agree_votes,686,3204,5889,6110
63000100022,臺北市,內湖區,五分里,臺北市第04選區,高嘉瑜,民主進步黨,2656,1996,2446,recall_agree_votes,660,4442,7970,8226
65000270015,新北市,金山區,金美里,新北市第12選區,賴品妤,民主進步黨,1717,1084,1221,recall_agree_votes,633,2305,4761,4812
68000020073,桃園市,中壢區,幸福里,桃園市第03選區,彭俊豪,民主進步黨,1949,1319,1938,recall_agree_votes,630,3257,5947,5901
68000110002,桃園市,新屋區,新生里,桃園市第02選區,黃世杰,民主進步黨,1538,920,1362,recall_agree_votes,618,2282,3949,3928
68000120014,桃園市,觀音區,崙坪里,桃園市第02選區,黃世杰,民主進步黨,1917,1328,1175,recall_agree_votes,589,2503,4491,4583
66000060001,臺中市,西屯區,西安里,臺中市第04選區,張廖萬堅,民主進步黨,2013,1436,1690,recall_agree_votes,577,3126,5530,5335
68000060006,桃園市,大園區,五權里,桃園市第02選區,黃世杰,民主進步黨,2115,1539,1322,recall_agree_votes,576,2861,5196,5038
65000270005,新北市,金山區,美田里,新北市第12選區,賴品妤,民主進步黨,1363,790,937,recall_agree_votes,573,1727,3622,3708
66000060033,臺中市,西屯區,福和里,臺中市第04選區,張廖萬堅,民主進步黨,1732,1160,1117,recall_agree_votes,572,2277,4087,4171
68000060007,桃園市,大園區,埔心里,桃園市第02選區,黃世杰,民主進步黨,1695,1126,1226,recall_agree_votes,569,2352,4267,4430
68000020037,桃園市,中壢區,信義里,桃園市第03選區,彭俊豪,民主進步黨,1558,990,1480,recall_agree_votes,568,2470,4244,4214
